l_id;wkt_srid_4326;24 Hous rel;24 Hours abs;100 Hours average abs;100 Hours max abs;100 Hours max average rel;cap;;;;;;;;;;;;;;;
l54;"SRID=4326;LINESTRING(8.44554248929306 48.9860881753906,8.3133401659254 49.0090434643525)";0.527858213;258.6505243;122.2423098;165.0160969;0.336767545;490;;l54;"SRID=4326;LINESTRING(8.44554248929306 48.9860881753906,8.3133401659254 49.0090434643525)";;;;;;;;;;l54;122.2423098;165.0160969
l55;"SRID=4326;LINESTRING(8.44554248929306 48.9860881753906,8.64158406338239 48.8900524832355)";0.063987979;31.35410967;16.73868816;36.26323056;0.074006593;490;;l55;"SRID=4326;LINESTRING(8.44554248929306 48.9860881753906,8.64158406338239 48.8900524832355)";;;;;;;;;;l55;16.73868816;36.26323056
l56;"SRID=4326;LINESTRING(8.64158406338239 48.8900524832355,8.3133401659254 49.0090434643525)";0.203290278;99.61223614;45.86151685;73.43699566;0.14987142;490;;l56;"SRID=4326;LINESTRING(8.64158406338239 48.8900524832355,8.3133401659254 49.0090434643525)";;;;;;;;;;l56;45.86151685;73.43699566
l57;"SRID=4326;LINESTRING(8.56374399744213 53.0317215835514,8.47470704898602 53.4286511943138)";0.22114173;375.9409405;104.403961;446.1220393;0.262424729;1700;;l57;"SRID=4326;LINESTRING(8.56374399744213 53.0317215835514,8.47470704898602 53.4286511943138)";;;;;;;;;;l57;104.403961;446.1220393
l58;"SRID=4326;LINESTRING(8.51888180951659 53.2026352836834,8.82002487241632 53.1073882918815)";0.382351303;187.3521386;154.222654;187.3521386;0.382351303;490;;l58;"SRID=4326;LINESTRING(8.51888180951659 53.2026352836834,8.82002487241632 53.1073882918815)";;;;;;;;;;l58;154.222654;187.3521386
l59;"SRID=4326;LINESTRING(9.5017896678173 53.5428143723363,8.51888180951659 53.2026352836834)";0.092964216;158.0391666;118.7824811;359.7044574;0.211590857;1700;;l59;"SRID=4326;LINESTRING(9.5017896678173 53.5428143723363,8.51888180951659 53.2026352836834)";;;;;;;;;;l59;118.7824811;359.7044574
l60;"SRID=4326;LINESTRING(8.12076909802284 48.7048354259965,8.3133401659254 49.0090434643525)";0.439052818;215.1358808;59.71949409;116.8296961;0.238427951;490;;l60;"SRID=4326;LINESTRING(8.12076909802284 48.7048354259965,8.3133401659254 49.0090434643525)";;;;;;;;;;l60;59.71949409;116.8296961
l61;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.4407746483177 48.1718035473026)";0.039803583;67.66609044;43.31314664;54.98581261;0.032344596;1700;;l61;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.4407746483177 48.1718035473026)";;;;;;;;;;l61;43.31314664;54.98581261
l62;"SRID=4326;LINESTRING(14.54 49.736,12.1147644054101 49.6311550521523)";0.10609511;180.3616867;384.0603826;583.0891537;0.34299362;1700;;l62;"SRID=4326;LINESTRING(14.54 49.736,12.1147644054101 49.6311550521523)";;;;;;;;;;l62;384.0603826;583.0891537
l63;"SRID=4326;LINESTRING(8.56374399744213 53.0317215835514,8.69516075602312 53.0925360847799)";0.179220763;304.6752966;127.3805461;372.5974539;0.219174973;1700;;l63;"SRID=4326;LINESTRING(8.56374399744213 53.0317215835514,8.69516075602312 53.0925360847799)";;;;;;;;;;l63;127.3805461;372.5974539
l64;"SRID=4326;LINESTRING(8.51888180951659 53.2026352836834,8.69516075602312 53.0925360847799)";0.164914833;280.3552163;143.0062158;400.667442;0.235686731;1700;;l64;"SRID=4326;LINESTRING(8.51888180951659 53.2026352836834,8.69516075602312 53.0925360847799)";;;;;;;;;;l64;143.0062158;400.667442
